guid,name,version,rarity,niche,trade_price,targets,buffs,boost_condition,boost_buffs,source
71438,"Gaius Julius Lupus, Castor of Fortunes",base,Epic,Finance,100000,"Markets: Market, Market",Income Area Effect: +1.5,,,Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough
71441,"Brutus Julius Lupus, Pollux of Polities",base,Epic,Economy,100000,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Workforce from residents: +20%,,,Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough; Quest: Gemini In The Rough
44431,Elephant Handler,base,Rare,Civic,15000,"Arable Farms: Wheat Farm, Wheat Farm, Flax Farm, Flax Farm, Hemp Farm, Hemp Farm, Oat Farm, Barley Farm",Prestige: +1; Productivity: +20%,,,Quest: A Quasi-Mythical Beast
94567,"Aodhan, Master Lutist of the Scathach",base,Epic,Civic,100000,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence","Happiness from Bardic Hearth, if supplied: +1; Prestige from Bardic Hearth, if supplied: +2",,,Quest: Diplomacy: Celtic Captives
125560,Abuccus,base,Rare,Finance,15000,"Watchtowers: Watchtower, Watchtower",Income Area Effect: +0.5,,,Quest: The Trials of the Embezzlers
95403,"Servia Bellia, Lily of the Coast",base,Epic,Finance,100000,"Coastal Factories: Fishing Hut, Scomber's Shack, Salt Ponds, Snailery, Sand Refinery, Oyster Bed, Shell Gatherer, Sand Refinery, Saltwort Picker, Cockle Picker",Income Area Effect: +1; Productivity: +25%,,,Quest: Lily Buying
96815,"Gigantulas, Polyphemian Captain",base,Epic,Military,100000,"Ships: Quinquireme, Penteconter, Trireme, Flagship, Raider I, Raider II, Latium Startship, Celtic ModularShip Quinquireme, Celtic ModularShip Penteconter, Albion Flagship, Caeso's Flagship, Celtic ModularShip Trireme, Albion Startship, Caeso's Canis Dirus Ship",Hitpoints: +150%; Self-repair speed: +200%; Movement Speed: -20%,,,"Amphitheatre: The Mysterious Murmillo Part II, Act I"
96821,"Publius Quintus, Amphipraetorian",base,Epic,Finance,100000,"City Watches: Vigiles, Vigiles, Custodia, Custodes, Medici, Medici",Income Area Effect: +1; Workforce Needed: -25%; Available Patrols: +1,,,"Amphitheatre: The Mysterious Murmillo Part II, Act II"
96819,Virtuous Volunteer,base,Rare,Economy,15000,"Refineries: Tiler, Tiler, Concrete Mixer, Concrete Mixer, Tessera Works, Granite Cutter, Marble Mason, Labourer's Yard, Sawmill, Sawmill",Productivity: +15%; Upkeep Cost: -25%; Workforce Needed: -25%,,,Amphitheatre: The Mysterious Murmillo Part VI
96817,"Apion Mochthos Apicius, of Apeiron Appetite",base,Epic,Culture,100000,"Kitchens: Earth Oven, Dairy, Epicure of Water, Bakery, Bakery, Salsicium, Porridge Stand, Epicure of Air",Happiness Area Effect: +1; Productivity: +25%,,,Amphitheatre: The Mysterious Murmillo Part VI
88062,Barley-Shaker,base,Rare,Nature,15000,Barley Farm: Barley Farm,Additional 1t every 3 cycles; Workforce Needed: -20%,,,Quest: A Taxing Task
93989,"Aisling, Ollamh of Shadow",base,Epic,Culture,100000,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence","Happiness from Sacred Grove, if supplied: +2; Knowledge from Sacred Grove, if supplied: +1",,,Quest: The Eagle's Shadow
90573,"Natanhael Sithar, the Star Diver",base,Epic,Research,100000,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence","Belief from Baths, if supplied: +1; Knowledge from Baths, if supplied: +2",,,
109532,Devoted Brother of Herakles,base,Rare,Nature,15000,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence","Happiness from Theatre, if supplied: +1; Health from Theatre, if supplied: +1",,,Quest: Sense & Suitability
82419,Cabin Cleanser,base,Rare,Civic,15000,"Latrines: Latrine, Latrine",Prestige Area Effect: +0.5,,,Quest: Sinking Feeling
82777,"Mad Cook, Favourite of Moguns",base,Epic,Culture,100000,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence","Happiness from Tavern, if supplied: +1; Health from Tavern, if supplied: +1; Knowledge from Tavern, if supplied: +1",,,Quest: The Mad Cook
83553,Philanthropic Patron,base,Rare,Finance,15000,"Ships: Quinquireme, Penteconter, Trireme, Flagship, Raider I, Raider II, Latium Startship, Celtic ModularShip Quinquireme, Celtic ModularShip Penteconter, Albion Flagship, Caeso's Flagship, Celtic ModularShip Trireme, Albion Startship, Caeso's Canis Dirus Ship",Trade Prices: -110%; Cargo Weight Slowdown: -30%,,,Quest: A Feast of Honour
121725,"Gan Ye, Envoy to Haixi",base,Epic,Finance,100000,"Ships: Quinquireme, Penteconter, Trireme, Flagship, Raider I, Raider II, Latium Startship, Celtic ModularShip Quinquireme, Celtic ModularShip Penteconter, Albion Flagship, Caeso's Flagship, Celtic ModularShip Trireme, Albion Startship, Caeso's Canis Dirus Ship",Trade Prices: -110%; Province Transfer Speed: +30%; Upkeep Cost: -25%,,,Quest: The Stuff Of Legends
121727,Serican Smuggler,base,Rare,Seafaring,15000,"Ships: Quinquireme, Penteconter, Trireme, Flagship, Raider I, Raider II, Latium Startship, Celtic ModularShip Quinquireme, Celtic ModularShip Penteconter, Albion Flagship, Caeso's Flagship, Celtic ModularShip Trireme, Albion Startship, Caeso's Canis Dirus Ship",Trade Prices: -105%; Cargo Weight Slowdown: -25%; Damage Slowdown: -25%,,,Quest: The Stuff Of Legends
64944,Actuary,base,Common,Finance,2750,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Income: +0.6,,,"Selling: Diana (1.055%); Selling: Julia Augusta (1.055%); Selling: Valeria (1.055%); Selling: Procurator Corvinus (1.074%); Selling: Manx (1.074%); Selling: Caeso Regulus Syracus (0.909%); Selling: Voada Of The Scathach (0.926%); Contracts: Diana (0.348%); Contracts: Julia Augusta (0.348%); Contracts: Valeria (0.348%); Contracts: Procurator Corvinus (0.354%); Contracts: Manx (0.354%); Contracts: Caeso Regulus Syracus (0.348%); Contracts: Voada Of The Scathach (0.354%); Contracts: Caecilia (0.348%); Festival: Hilaria, Festival of Joy (0.858%); Festival: Ovatio, Festival of Prestigious Rule (0.858%); Festival: Triumph, Festival of Conquest (1.716%); Festival: Spectacula, Festival of the Games (1.716%); Festival: Lugnasad, Festival of Mercury-Lugus (6.005%); Flotsam: Diana (0.137%); Flotsam: Julia Augusta (0.137%); Flotsam: Valeria (0.137%); Flotsam: Procurator Corvinus (0.140%); Flotsam: Manx (0.140%); Flotsam: Caeso Regulus Syracus (0.219%); Flotsam: Voada Of The Scathach (0.223%); Flotsam: Gnaeus Firmius Calidus (0.137%); Flotsam: Julia Augusta (0.137%); Flotsam: Caecilia (0.137%)"
64949,Preacher,base,Common,Religion,2750,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Belief: +0.6,,,"Selling: Diana (1.055%); Selling: Julia Augusta (1.055%); Selling: Valeria (1.055%); Selling: Procurator Corvinus (1.074%); Selling: Manx (1.074%); Selling: Caeso Regulus Syracus (0.909%); Selling: Voada Of The Scathach (0.926%); Contracts: Diana (0.348%); Contracts: Julia Augusta (0.348%); Contracts: Valeria (0.348%); Contracts: Procurator Corvinus (0.354%); Contracts: Manx (0.354%); Contracts: Caeso Regulus Syracus (0.348%); Contracts: Voada Of The Scathach (0.354%); Contracts: Caecilia (0.348%); Festival: Festival of Household Gods (12.010%); Festival: Armilustrium, Festival of Mars (3.431%); Festival: Cerealia, Festival of Ceres (3.431%); Festival: Neptunalia Festival (3.431%); Festival: Lugnasad, Festival of Mercury-Lugus (3.431%); Festival: Eponalia Festival (3.431%); Festival: Cernunnalia Festival (3.431%); Festival: Quinquatria, Festival of Minerva (3.431%); Festival: Vulcanalia (1.716%); Quest: Share a Drink; Flotsam: Diana (0.137%); Flotsam: Julia Augusta (0.137%); Flotsam: Valeria (0.137%); Flotsam: Procurator Corvinus (0.140%); Flotsam: Manx (0.140%); Flotsam: Caeso Regulus Syracus (0.219%); Flotsam: Voada Of The Scathach (0.223%); Flotsam: Gnaeus Firmius Calidus (0.137%); Flotsam: Julia Augusta (0.137%); Flotsam: Caecilia (0.137%)"
64950,Scholast,base,Common,Research,2750,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Knowledge: +0.6,,,"Selling: Diana (1.055%); Selling: Julia Augusta (1.055%); Selling: Valeria (1.055%); Selling: Procurator Corvinus (1.074%); Selling: Manx (1.074%); Selling: Caeso Regulus Syracus (0.909%); Selling: Voada Of The Scathach (0.926%); Contracts: Diana (0.348%); Contracts: Julia Augusta (0.348%); Contracts: Valeria (0.348%); Contracts: Procurator Corvinus (0.354%); Contracts: Manx (0.354%); Contracts: Caeso Regulus Syracus (0.348%); Contracts: Voada Of The Scathach (0.354%); Contracts: Caecilia (0.348%); Festival: Hygieia Festival (1.716%); Festival: Litterria, Festival of Learning (6.005%); Festival: Cerealia, Festival of Ceres (0.858%); Festival: Quinquatria, Festival of Minerva (6.005%); Flotsam: Diana (0.137%); Flotsam: Julia Augusta (0.137%); Flotsam: Valeria (0.137%); Flotsam: Procurator Corvinus (0.140%); Flotsam: Manx (0.140%); Flotsam: Caeso Regulus Syracus (0.219%); Flotsam: Voada Of The Scathach (0.223%); Flotsam: Gnaeus Firmius Calidus (0.137%); Flotsam: Julia Augusta (0.137%); Flotsam: Caecilia (0.137%)"
