GUID,Icon,Name,InfoDescription,Buff,Buff Effects,BoostBuff,BoostBuff Effects,Boost Hint,Boost Condition,Targets,Source,Allocation,Rarity,Niche,Price,IsMetaItem,Origin,ObsidianPrice
41350,data/ui/fhd/base/icon_content/items_specialist/rival/icon_3d_rival_01_dorian.png,-6900310240908301779,-6900537680753260331,40496,ChangeNeedAttributesOf 2685: Health +3 | ChangeNeedAttributesOf 2685: FireSafety +1 | Health: +25% | AdditionalWorkforces: 2181,113061,ChangeNeedAttributesOf 2685: Health +3 | ChangeNeedAttributesOf 2685: FireSafety +2 | Health: +35% | AdditionalWorkforces: 2181,-6911954750646270725,ConditionNeedAttributeCounter: Health AtLeast 1000,3142,ItemGainedWhenDefeated: 31099,Villa,Unique,Culture,,,,
41352,data/ui/fhd/base/icon_content/items_specialist/rival/icon_3d_rival_02_tarragon.png,-6913833098892036930,-6911379866151689857,44524,ChangeNeedAttributesOf 2679: Happiness +3 | ChangeNeedAttributesOf 2679: Knowledge +1 | Happiness: +35% | AdditionalWorkforces: 2181,113062,ChangeNeedAttributesOf 2679: Happiness +3 | ChangeNeedAttributesOf 2679: Knowledge +2 | Happiness: +40% | AdditionalWorkforces: 2181,-6914265383228800076,ConditionNeedAttributeCounter: Happiness AtLeast 1000,3141,ItemGainedWhenDefeated: 31100,Villa,Unique,Agriculture,,,,
41351,data/ui/fhd/base/icon_content/items_specialist/rival/icon_3d_rival_03_licia.png,-6903508852426753616,-6902240050980918108,44525,ChangeNeedAttributesOf 2683: Money +1 | ChangeNeedAttributesOf 2683: Prestige +3 | Prestige: +25% | AdditionalWorkforces: 2184,113063,ChangeNeedAttributesOf 2683: Money +2 | ChangeNeedAttributesOf 2683: Prestige +3 | Prestige: +35% | AdditionalWorkforces: 2184,-6911820627630046369,ConditionNeedAttributeCounter: Prestige AtLeast 10000,3142,ItemGainedWhenDefeated: 31101,Villa,Unique,Diplomacy,,,,
41355,data/ui/fhd/base/icon_content/items_specialist/rival/icon_3d_rival_04_athr.png,-6913965821824950111,-6900397277254495078,44526,ChangeNeedAttributesOf 6707: Health +1 | ChangeNeedAttributesOf 6707: FireSafety +3 | FireSafety: +25% | AdditionalWorkforces: 2192,113064,ChangeNeedAttributesOf 6707: Health +2 | ChangeNeedAttributesOf 6707: FireSafety +3 | FireSafety: +35% | AdditionalWorkforces: 2192,-6906314621200897745,ConditionNeedAttributeCounter: FireSafety AtLeast 1000,6471|6472,ItemGainedWhenDefeated: 31102,Villa,Unique,Economy,,,,
41353,data/ui/fhd/base/icon_content/items_specialist/rival/icon_3d_rival_05_zarai.png,-6907481345303871026,-6902859344487226224,44527,ChangeNeedAttributesOf 2678: Knowledge +3 | ChangeNeedAttributesOf 2678: Prestige +1 | Knowledge: +15% | AdditionalWorkforces: 2184,113065,ChangeNeedAttributesOf 2678: Knowledge +3 | ChangeNeedAttributesOf 2678: Prestige +2 | Knowledge: +20% | AdditionalWorkforces: 2184,-6913575920227629274,ConditionNeedAttributeCounter: Knowledge AtLeast 10000,3145,ItemGainedWhenDefeated: 31103,Villa,Unique,Research,,,,
41354,data/ui/fhd/base/icon_content/items_specialist/rival/icon_3d_rival_06_concordia.png,-6905323328563196805,-6912106295287555950,44528,ChangeNeedAttributesOf 2684: Happiness +1 | ChangeNeedAttributesOf 2684: Belief +3 | Belief: +15% | AdditionalWorkforces: 2181,113066,ChangeNeedAttributesOf 2684: Happiness +2 | ChangeNeedAttributesOf 2684: Belief +3 | Belief: +20% | AdditionalWorkforces: 2181,-6910525319967349090,ConditionNeedAttributeCounter: Belief AtLeast 10000,3145,ItemGainedWhenDefeated: 31104,Villa,Unique,Religion,,,,
41360,data/ui/fhd/base/icon_content/items_specialist/rival/icon_3d_rival_07_nefernu.png,-6901130070997171994,-6906797756053347348,44529,ChangeNeedAttributesOf 6710: Money +3 | ChangeNeedAttributesOf 6710: Belief +1 | Money: +25% | AdditionalWorkforces: 2192,113067,ChangeNeedAttributesOf 6710: Money +3 | ChangeNeedAttributesOf 6710: Belief +2 | Money: +35% | AdditionalWorkforces: 2192,-6901078193371927987,ConditionNeedAttributeCounter: Money AtLeast 10000,6475|6514,ItemGainedWhenDefeated: 31105,Villa,Unique,Finance,,,,
42625,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_hof_003_seafaring.png,-6902155074782573616,-6901713639838535304,42626,BaseHealthUpgrade: +25% | BuffBaseSpeedUpgrade: +15% | BuffFavorableWindAngle: +45 | DiscoveryRadiusUpgrade: +100%,113072,BaseHealthUpgrade: +35% | BuffBaseSpeedUpgrade: +20% | BuffFavorableWindAngle: +60 | DiscoveryRadiusUpgrade: +200%,-6912452669736334976,ConditionPlayerCounter: NavalStrength AtMost 5000 | Session,38995:37224;37222;37223;5473;43094;44483;52121;39570;39572;39573;90561;39571;52122;90562,HallofFame: -6906945524005841361,Ship,Unique,Nautics,,1,,
42049,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_hof_001_finance.png,-6911340379177467711,-6907151324465867135,42583,MaintenanceFactorUpgrade: -75% | -6916464905928465879 Money: +1.5,113073,MaintenanceFactorUpgrade: -100% | -6916464905928465879 Money: +2,-6915535038066173143,ConditionObjectCount: AtLeast 600 | 31046,31659:3527;6724,HallofFame: -6906945524005841361,Villa,Unique,Finance,,1,,
42050,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_hof_002_religion.png,-6902170333782449833,-6907667034036297471,42584,MaintenanceFactorUpgrade: -50% | -6916464905928465879 Belief: +1.5 | -6916464905928465879 Knowledge: +0.5,113076,MaintenanceFactorUpgrade: -75% | -6916464905928465879 Belief: +2 | -6916464905928465879 Knowledge: +1,-6905059196339890240,ConditionObjectCount: AtLeast 10 | 51906,3615|6728,HallofFame: -6906945524005841361,Villa,Unique,Religion,,1,,
91415,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_hof_004_military.png,-6902303364160626642,-6914575172377454661,91416,MaintenanceFactorUpgrade: -50% | WorkforceMaintenanceFactorUpgrade: -80% | BaseHealthUpgrade: +50% | DistanceAttackRangePercentualUpgrade: +20%,113071,MaintenanceFactorUpgrade: -50% | WorkforceMaintenanceFactorUpgrade: -100% | BaseHealthUpgrade: +75% | DistanceAttackRangePercentualUpgrade: +25% | AttackSpeedRangedPercentualUpgrade: +10%,-6916594728734417118,ConditionObjectCount: AtLeast 50 | 43102,29318:54990;27890;50972;55002;29546;50974,HallofFame: -6906945524005841361,Villa,Unique,Military,,1,,
91417,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_hof_005_diplomacy.png,-6916823494030950699,-6913996265622835809,91418,ChangeNeedAttributesOf 2144: Happiness +1 | ChangeNeedAttributesOf 2144: Prestige +3 | ChangeNeedAttributesOf 2159: Happiness +1 | ChangeNeedAttributesOf 2159: Prestige +3,113070,ChangeNeedAttributesOf 2144: Happiness +2 | ChangeNeedAttributesOf 2144: Prestige +3 | ChangeNeedAttributesOf 2159: Happiness +2 | ChangeNeedAttributesOf 2159: Prestige +3,-6911707029688709121,ConditionItemUsed: AtLeast 4 | 113059,31046:3087;3141;3142;3145;6414;6471;6472;6475;6514,HallofFame: -6906945524005841361,Villa,Unique,Diplomacy,,1,,
91419,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_hof_006_research.png,-6914569128744173465,-6914302638273077391,91420,Belief: +25% | Knowledge: +25%,113069,Belief: +35% | Knowledge: +35%,-6917209561190924156,ConditionPlayerCounter: GoodsInStock AtLeast 150 | 2150 | Area,31046:3087;3141;3142;3145;6414;6471;6472;6475;6514,HallofFame: -6906945524005841361,Villa,Unique,Research,,1,,
91421,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_hof_007_economy.png,-6900605706742752735,-6917344718788913289,91422,Happiness: -1 | WorkforceModifierInPercent: +30%,113068,Happiness: -2 | WorkforceModifierInPercent: +40%,-6899839099837497253,ConditionActiveEmperor: 31637,92732:3087;6414,HallofFame: -6906945524005841361,Villa,Unique,Economy,,1,,
71438,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_tutorial_002_gaius_julius.png,-6904921952329911607,-6913206368656349268,71439,-6916464905928465879 Money: +1.5,,,,,31659:3527;6724,Quest: -6899705568347609120,Villa,Epic,Finance,100000,,,595
71441,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_tutorial_001_brutus_julius.png,-6909903840941392546,-6906329442026700988,71442,WorkforceModifierInPercent: +20%,,,,,31046:3087;3141;3142;3145;6414;6471;6472;6475;6514,Quest: -6899705568347609120,Villa,Epic,Economy,100000,,,595
42057,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_campaign_elephant.png,-6913937769218893779,-6916552334823203560,42603,Prestige: +1.5,,,,,31046:3087;3141;3142;3145;6414;6471;6472;6475;6514,,Villa,Epic,Agriculture,100000,,,595
44431,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_campaign_002_elephant_handler.png,-6915369023665830637,-6917284150082181483,44432,ProductivityUpgrade: +20% | Prestige: +1,,,,,42602:2693;5972;2669;5971;31750;31762;2200;2799,Quest: -6907702924574307336,Villa,Rare,Diplomacy,15000,,,89
94567,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_campaign_004_aodhan.png,-6906089175241024262,-6912257186036987585,94568,ChangeNeedAttributesOf 6709: Happiness +1 | ChangeNeedAttributesOf 6709: Prestige +2,,,,,31046:3087;3141;3142;3145;6414;6471;6472;6475;6514,Quest: 54650,Villa,Epic,Diplomacy,100000,,,595
125560,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_narrative_004_abbacus.png,-6914634869106955594,-6910117928134980794,125561,-6916464905928465879 Money: +0.5,,,,,71277:71265;71268,Quest: -6917435397764590487,Villa,Rare,Finance,15000,,,89
95403,data/ui/fhd/base/icon_content/items_specialist/other_female/icon_3d_other_female_035.png,-6899537828877111201,-6913280197228417142,95404,ProductivityUpgrade: +25% | -6916464905928465879 Money: +1,,,,,95420:2955;2956;2957;8580;2958;8586;8431;10929;2796;5278,Quest: 95027,Villa,Epic,Finance,100000,,,595
96815,data/ui/fhd/base/icon_content/items_specialist/other_male/icon_3d_other_male_024.png,-6905310341823202827,-6902431017936970712,96816,BaseHealthUpgrade: +150% | SelfHealUpgrade: +200% | BuffBaseSpeedUpgrade: -20%,,,,,38995:37224;37222;37223;5473;43094;44483;52121;39570;39572;39573;90561;39571;52122;90562,Quest: -6916035969594495688,Ship,Epic,Military,100000,,,595
96821,data/ui/fhd/base/icon_content/items_specialist/roman_male/icon_3d_roman_male_87.png,-6910653606412672954,-6903704550354684238,96822,WorkforceMaintenanceFactorUpgrade: -25% | ResolverUnitCountUpgrade: +1 | -6916464905928465879 Money: +1,,,,,43102:30754;30769;30762;30770;30765;30771,Quest: -6904393187934207580,Villa,Epic,Finance,100000,,,595
96819,data/ui/fhd/base/icon_content/items_specialist/roman_male/icon_3d_roman_male_88.png,-6906703746818571820,-6912349353390449970,96820,ProductivityUpgrade: +15% | MaintenanceFactorUpgrade: -25% | WorkforceMaintenanceFactorUpgrade: -25%,,,,,50613:3091;5947;5946;3129;3203;41811;3138;5935;3089;5945,Quest: -6915760015674043469,Villa,Rare,Economy,15000,,,89
